year,mmwr_week,siteID,lifeStage,scientificName,n,ind_w_larval_ticks,ind_w_nymphal_ticks,ind_w_adult_ticks
2014,26,SCBI,subadult,Peromyscus leucopus,4,0,0,0
2014,26,TALL,adult,Peromyscus gossypinus,13,0,0,0
2014,26,TALL,adult,Peromyscus leucopus,21,0,0,0
2014,26,TALL,NA,Blarina carolinensis,2,0,0,0
2014,27,SCBI,adult,Microtus pennsylvanicus,2,0,0,0
2014,27,SCBI,adult,Mus musculus,1,0,0,0
2014,27,SCBI,adult,Peromyscus leucopus,7,0,0,0
2014,27,SCBI,adult,Sorex cinereus,1,0,0,0
2014,27,SCBI,subadult,Mus musculus,1,0,0,0
2014,27,SCBI,subadult,Peromyscus leucopus,1,0,0,0
2014,30,ORNL,adult,Peromyscus leucopus,2,0,0,0
2014,30,ORNL,adult,Peromyscus maniculatus,1,0,0,0
2014,30,ORNL,adult,Peromyscus sp.,23,0,0,0
2014,30,ORNL,adult,Sigmodon hispidus,10,0,0,0
2014,30,ORNL,adult,Tamias striatus,1,0,0,0
2014,30,ORNL,juvenile,Peromyscus sp.,1,0,0,0
2014,30,ORNL,juvenile,Sigmodon hispidus,2,0,0,0
2014,30,ORNL,unknown,Blarina brevicauda,4,0,0,0
2014,30,ORNL,NA,Blarina brevicauda,4,0,0,0
2014,30,OSBS,adult,Peromyscus gossypinus,4,0,0,0
2014,30,OSBS,adult,Podomys floridanus,26,0,0,0
2014,30,OSBS,adult,Sigmodon hispidus,5,0,0,0
2014,30,OSBS,juvenile,Peromyscus gossypinus,3,0,0,0
2014,30,OSBS,juvenile,Podomys floridanus,2,0,0,0
2014,30,OSBS,juvenile,Sigmodon hispidus,1,0,0,0
2014,30,OSBS,subadult,Peromyscus gossypinus,1,0,0,0
2014,30,OSBS,subadult,Sigmodon hispidus,1,0,0,0
2014,30,OSBS,unknown,Peromyscus gossypinus,1,0,0,0
2014,30,SCBI,adult,Blarina brevicauda,13,0,0,0
2014,30,SCBI,adult,Microtus pennsylvanicus,7,0,0,0
2014,30,SCBI,adult,Mus musculus,4,0,0,0
2014,30,SCBI,adult,Peromyscus leucopus,47,0,0,0
2014,30,SCBI,subadult,Peromyscus leucopus,6,0,0,0
2014,30,TALL,adult,Ochrotomys nuttalli,2,0,0,0
2014,30,TALL,adult,Peromyscus gossypinus,17,0,0,0
2014,30,TALL,adult,Peromyscus leucopus,23,0,0,0
2014,30,TALL,juvenile,Peromyscus leucopus,4,0,0,0
2014,30,TALL,subadult,Peromyscus leucopus,1,0,0,0
2014,30,TALL,unknown,Peromyscus leucopus,1,0,0,0
2014,30,TALL,NA,Blarina carolinensis,2,0,0,0
2014,31,TALL,adult,Peromyscus gossypinus,5,0,0,0
2014,31,TALL,adult,Peromyscus leucopus,5,0,0,0
2014,31,TALL,juvenile,Peromyscus leucopus,1,0,0,0
2014,34,ORNL,adult,Peromyscus sp.,9,0,0,0
2014,34,ORNL,adult,Sigmodon hispidus,1,0,0,0
2014,34,ORNL,adult,Tamias striatus,1,0,0,0
2014,34,ORNL,unknown,Blarina brevicauda,1,0,0,0
2014,34,SCBI,adult,Blarina brevicauda,10,0,0,0
2014,34,SCBI,adult,Microtus pennsylvanicus,3,0,0,0
2014,34,SCBI,adult,Peromyscus leucopus,48,0,0,0
2014,34,SCBI,juvenile,Peromyscus leucopus,2,0,0,0
2014,34,SCBI,NA,Blarina brevicauda,1,0,0,0
2014,34,TALL,adult,Ochrotomys nuttalli,2,0,0,0
2014,34,TALL,adult,Peromyscus gossypinus,17,0,0,0
2014,34,TALL,adult,Peromyscus leucopus,20,0,0,0
2014,34,TALL,subadult,Peromyscus gossypinus,1,0,0,0
2014,34,TALL,unknown,Blarina carolinensis,1,0,0,0
2014,34,TALL,NA,Blarina brevicauda,6,0,0,0
2014,35,OSBS,adult,Ochrotomys nuttalli,1,0,0,0
2014,35,OSBS,adult,Peromyscus gossypinus,4,0,0,0
2014,35,OSBS,adult,Podomys floridanus,24,0,0,0
2014,38,SCBI,adult,Blarina brevicauda,21,0,0,0
2014,38,SCBI,adult,Peromyscus leucopus,25,0,0,0
2014,38,SCBI,subadult,Blarina brevicauda,2,0,0,0
2014,38,SCBI,subadult,Peromyscus leucopus,1,0,0,0
2014,38,TALL,adult,Blarina carolinensis,2,0,0,0
2014,38,TALL,adult,Microtus pinetorum,1,0,0,0
2014,38,TALL,adult,Peromyscus gossypinus,15,0,0,0
2014,38,TALL,adult,Peromyscus leucopus,13,0,0,0
2014,38,TALL,unknown,Blarina carolinensis,1,0,0,0
2014,38,TALL,NA,Blarina carolinensis,12,0,0,0
2014,38,TALL,NA,Peromyscus leucopus,1,0,0,0
2014,39,ORNL,adult,Blarina brevicauda,5,0,0,0
2014,39,ORNL,adult,Peromyscus sp.,14,0,0,0
2014,39,ORNL,adult,Sigmodon hispidus,5,0,0,0
2014,39,ORNL,adult,Tamias striatus,1,0,0,0
2014,39,ORNL,juvenile,Sigmodon hispidus,2,0,0,0
2014,39,ORNL,subadult,Sigmodon hispidus,2,0,0,0
2014,39,OSBS,adult,Peromyscus gossypinus,5,0,0,0
2014,39,OSBS,adult,Podomys floridanus,16,0,0,0
2014,39,OSBS,juvenile,Podomys floridanus,3,0,0,0
2014,39,SCBI,adult,Blarina brevicauda,14,0,0,0
2014,39,SCBI,adult,Microtus pennsylvanicus,2,0,0,0
2014,39,SCBI,adult,Peromyscus leucopus,12,0,0,0
2014,39,SCBI,adult,Sorex cinereus,1,0,0,0
2014,39,SCBI,subadult,Mus musculus,2,0,0,0
2014,39,SCBI,subadult,Peromyscus leucopus,3,0,0,0
2014,39,TALL,adult,Peromyscus gossypinus,4,0,0,0
2014,39,TALL,NA,Blarina carolinensis,5,0,0,0
2014,42,SCBI,adult,Blarina brevicauda,12,0,0,0
2014,42,SCBI,adult,Microtus pennsylvanicus,4,0,0,0
2014,42,SCBI,adult,Mus musculus,1,0,0,0
2014,42,SCBI,adult,Peromyscus leucopus,10,0,0,0
2014,42,SCBI,juvenile,Peromyscus leucopus,2,0,0,0
2014,42,SCBI,subadult,Mus musculus,1,0,0,0
2014,42,TALL,adult,Blarina carolinensis,1,0,0,0
2014,42,TALL,adult,Peromyscus gossypinus,8,0,0,0
2014,42,TALL,adult,Peromyscus leucopus,8,0,0,0
2014,42,TALL,juvenile,Peromyscus leucopus,1,0,0,0
2014,42,TALL,unknown,Blarina carolinensis,29,0,0,0
2014,43,ORNL,adult,Blarina brevicauda,1,0,0,0
2014,43,ORNL,adult,Peromyscus sp.,14,0,0,0
2014,43,ORNL,adult,Tamias striatus,2,0,0,0
2014,43,ORNL,juvenile,Peromyscus sp.,1,0,0,0
2014,43,OSBS,adult,Podomys floridanus,8,0,0,0
2014,43,OSBS,NA,Blarina carolinensis,1,0,0,0
2014,43,TALL,juvenile,Peromyscus leucopus,1,0,0,0
2014,43,TALL,unknown,Blarina carolinensis,5,0,0,0
2014,43,TALL,NA,Peromyscus leucopus,1,0,0,0
2015,11,TALL,adult,Peromyscus gossypinus,18,0,0,0
2015,11,TALL,adult,Peromyscus leucopus,11,0,0,0
2015,11,TALL,juvenile,Peromyscus gossypinus,4,0,0,0
2015,11,TALL,juvenile,Peromyscus leucopus,1,0,0,0
2015,11,TALL,subadult,Peromyscus gossypinus,7,0,0,0
2015,11,TALL,unknown,Blarina carolinensis,2,0,0,0
2015,11,TALL,NA,Blarina carolinensis,1,0,0,0
2015,11,TALL,NA,Peromyscus leucopus,4,0,0,0
2015,15,ORNL,adult,Peromyscus leucopus,16,0,0,0
2015,15,ORNL,adult,Peromyscus maniculatus,12,0,0,0
2015,15,ORNL,adult,Tamias striatus,5,0,0,0
2015,15,OSBS,adult,Peromyscus gossypinus,1,0,0,0
2015,15,OSBS,adult,Podomys floridanus,5,0,0,0
2015,15,OSBS,subadult,Peromyscus gossypinus,2,0,0,0
2015,15,OSBS,subadult,Podomys floridanus,1,0,0,0
2015,15,OSBS,unknown,Podomys floridanus,1,0,0,0
2015,15,SCBI,adult,Blarina brevicauda,3,0,0,0
2015,15,SCBI,adult,Microtus pennsylvanicus,9,0,0,0
2015,15,SCBI,adult,Mus musculus,5,0,0,0
2015,15,SCBI,adult,Peromyscus leucopus,27,0,0,0
2015,15,SCBI,juvenile,Peromyscus leucopus,3,0,0,0
2015,15,SCBI,subadult,Peromyscus leucopus,3,0,0,0
2015,16,SERC,adult,Glaucomys volans,1,0,0,0
2015,16,SERC,adult,Mus musculus,1,0,0,0
2015,16,SERC,adult,Peromyscus leucopus,30,0,0,0
2015,16,SERC,subadult,Peromyscus leucopus,2,0,0,0
2015,16,TALL,adult,Ochrotomys nuttalli,3,0,0,0
2015,16,TALL,adult,Peromyscus gossypinus,50,0,0,0
2015,16,TALL,adult,Peromyscus leucopus,10,0,0,0
2015,16,TALL,juvenile,Peromyscus gossypinus,3,0,0,0
2015,16,TALL,juvenile,Peromyscus leucopus,3,0,0,0
2015,16,TALL,subadult,Peromyscus gossypinus,13,0,0,0
2015,16,TALL,subadult,Peromyscus leucopus,7,0,0,0
2015,16,TALL,unknown,Blarina carolinensis,4,0,0,0
2015,16,TALL,unknown,Peromyscus leucopus,1,0,0,0
2015,16,TALL,NA,Blarina carolinensis,8,0,0,0
2015,19,ORNL,adult,Peromyscus leucopus,51,0,0,0
2015,19,ORNL,adult,Peromyscus maniculatus,22,0,0,0
2015,19,ORNL,adult,Sigmodon hispidus,2,0,0,0
2015,19,ORNL,adult,Tamias striatus,7,0,0,0
2015,19,ORNL,juvenile,Didelphis virginiana,1,0,0,0
2015,19,ORNL,juvenile,Peromyscus leucopus,7,0,0,0
2015,19,ORNL,subadult,Peromyscus leucopus,11,0,0,0
2015,19,OSBS,adult,Peromyscus gossypinus,4,0,0,0
2015,19,OSBS,adult,Podomys floridanus,30,0,0,0
2015,19,OSBS,adult,Sigmodon hispidus,1,0,0,0
2015,19,OSBS,juvenile,Podomys floridanus,1,0,0,0
2015,19,OSBS,subadult,Peromyscus gossypinus,1,0,0,0
2015,19,OSBS,subadult,Podomys floridanus,2,0,0,0
2015,19,OSBS,unknown,Podomys floridanus,2,0,0,0
2015,19,SCBI,adult,Blarina brevicauda,11,0,0,0
2015,19,SCBI,adult,Microtus pennsylvanicus,24,0,0,0
2015,19,SCBI,adult,Mus musculus,8,0,0,0
2015,19,SCBI,adult,Peromyscus leucopus,90,0,0,0
2015,19,SCBI,juvenile,Microtus pennsylvanicus,5,0,0,0
2015,19,SCBI,juvenile,Mus musculus,1,0,0,0
2015,19,SCBI,juvenile,Peromyscus leucopus,3,0,0,0
2015,19,SCBI,subadult,Microtus pennsylvanicus,7,0,0,0
2015,19,SCBI,subadult,Mus musculus,2,0,0,0
2015,19,SCBI,subadult,Peromyscus leucopus,47,0,0,0
2015,19,SCBI,subadult,Peromyscus maniculatus,1,0,0,0
2015,19,SCBI,unknown,Peromyscus leucopus,2,0,0,0
2015,19,SCBI,NA,NA,1,0,0,0
2015,19,TALL,adult,Ochrotomys nuttalli,2,0,0,0
2015,19,TALL,adult,Peromyscus gossypinus,58,0,0,0
2015,19,TALL,adult,Peromyscus leucopus,8,0,0,0
2015,19,TALL,juvenile,Peromyscus gossypinus,3,0,0,0
2015,19,TALL,juvenile,Peromyscus leucopus,5,0,0,0
2015,19,TALL,subadult,Peromyscus gossypinus,6,0,0,0
2015,19,TALL,subadult,Peromyscus leucopus,5,0,0,0
2015,19,TALL,unknown,Blarina carolinensis,11,0,0,0
2015,19,TALL,NA,Blarina carolinensis,12,0,0,0
2015,19,TALL,NA,Peromyscus leucopus,1,0,0,0
2015,19,TALL,NA,Tamias striatus,1,0,0,0
2015,20,BLAN,adult,Mus musculus,5,0,0,0
2015,20,BLAN,adult,Peromyscus leucopus,60,0,0,0
2015,20,BLAN,adult,Zapus hudsonius,1,0,0,0
2015,20,BLAN,juvenile,Peromyscus leucopus,1,0,0,0
2015,20,BLAN,subadult,Peromyscus leucopus,12,0,0,0
2015,20,OSBS,adult,Peromyscus gossypinus,5,0,0,0
2015,20,OSBS,juvenile,Neotoma floridana,1,0,0,0
2015,20,OSBS,subadult,Peromyscus gossypinus,1,0,0,0
2015,23,OSBS,adult,Ochrotomys nuttalli,3,0,0,0
2015,23,OSBS,adult,Peromyscus gossypinus,5,0,0,0
2015,23,OSBS,adult,Podomys floridanus,21,0,0,0
2015,23,OSBS,juvenile,Ochrotomys nuttalli,1,0,0,0
2015,23,SCBI,adult,Blarina brevicauda,3,0,0,0
2015,23,SCBI,adult,Microtus pennsylvanicus,14,0,0,0
2015,23,SCBI,adult,Mus musculus,16,0,0,0
2015,23,SCBI,adult,Peromyscus leucopus,77,0,0,0
2015,23,SCBI,juvenile,Mus musculus,3,0,0,0
2015,23,SCBI,juvenile,Peromyscus leucopus,4,0,0,0
2015,23,SCBI,subadult,Microtus pennsylvanicus,7,0,0,0
2015,23,SCBI,subadult,Mus musculus,2,0,0,0
2015,23,SCBI,subadult,Peromyscus leucopus,35,0,0,0
2015,23,SCBI,unknown,Peromyscus leucopus,2,0,0,0
2015,23,SCBI,NA,Blarina brevicauda,2,0,0,0
2015,23,SCBI,NA,NA,1,0,0,0
2015,23,TALL,adult,Ochrotomys nuttalli,1,0,0,0
2015,23,TALL,adult,Peromyscus gossypinus,50,0,0,0
2015,23,TALL,adult,Peromyscus leucopus,17,0,0,0
2015,23,TALL,adult,Tamias striatus,3,0,0,0
2015,23,TALL,juvenile,Peromyscus gossypinus,3,0,0,0
2015,23,TALL,subadult,Peromyscus gossypinus,11,0,0,0
2015,23,TALL,subadult,Peromyscus leucopus,2,0,0,0
2015,23,TALL,unknown,Blarina carolinensis,2,0,0,0
2015,23,TALL,NA,Blarina carolinensis,9,0,0,0
2015,23,TALL,NA,Tamias striatus,1,0,0,0
2015,24,ORNL,adult,Blarina brevicauda,2,0,0,0
2015,24,ORNL,adult,Ochrotomys nuttalli,1,0,0,0
2015,24,ORNL,adult,Peromyscus leucopus,106,0,0,0
2015,24,ORNL,adult,Peromyscus maniculatus,17,0,0,0
2015,24,ORNL,adult,Reithrodontomys humulis,1,0,0,0
2015,24,ORNL,adult,Sigmodon hispidus,2,0,0,0
2015,24,ORNL,adult,Tamias striatus,11,0,0,0
2015,24,ORNL,subadult,Peromyscus leucopus,2,0,0,0
2015,24,SCBI,adult,Blarina brevicauda,1,0,0,0
2015,24,SCBI,adult,Peromyscus leucopus,28,0,0,0
2015,24,SCBI,juvenile,Peromyscus leucopus,1,0,0,0
2015,24,SCBI,subadult,Peromyscus leucopus,4,0,0,0
2015,24,SCBI,unknown,Peromyscus leucopus,1,0,0,0
2015,25,SERC,adult,Peromyscus leucopus,19,0,0,0
2015,25,SERC,subadult,Peromyscus leucopus,2,0,0,0
2015,27,OSBS,adult,Blarina carolinensis,2,0,0,0
2015,27,OSBS,adult,Ochrotomys nuttalli,3,0,0,0
2015,27,OSBS,adult,Podomys floridanus,8,0,0,0
2015,27,OSBS,adult,Sigmodon hispidus,7,0,0,0
2015,27,OSBS,juvenile,Oryzomys palustris,1,0,0,0
2015,27,OSBS,juvenile,Podomys floridanus,1,0,0,0
2015,27,OSBS,juvenile,Sigmodon hispidus,2,0,0,0
2015,27,OSBS,subadult,Peromyscus gossypinus,2,0,0,0
2015,27,OSBS,unknown,Podomys floridanus,1,0,0,0
2015,27,SCBI,adult,Blarina brevicauda,9,0,0,0
2015,27,SCBI,adult,Microtus pennsylvanicus,5,0,0,0
2015,27,SCBI,adult,Mus musculus,9,0,0,0
2015,27,SCBI,adult,Peromyscus leucopus,129,0,0,0
2015,27,SCBI,adult,Tamias striatus,1,0,0,0
2015,27,SCBI,juvenile,Mus musculus,8,0,0,0
2015,27,SCBI,juvenile,Peromyscus leucopus,2,0,0,0
2015,27,SCBI,subadult,Microtus pennsylvanicus,2,0,0,0
2015,27,SCBI,subadult,Mus musculus,3,0,0,0
2015,27,SCBI,subadult,Peromyscus leucopus,28,0,0,0
2015,27,UKFS,adult,Microtus ochrogaster,4,0,0,0
2015,27,UKFS,adult,Neotoma floridana,33,0,0,0
2015,27,UKFS,adult,Peromyscus leucopus,75,0,0,0
2015,27,UKFS,adult,Peromyscus maniculatus,9,0,0,0
2015,27,UKFS,adult,Sigmodon hispidus,61,0,0,0
2015,27,UKFS,juvenile,Microtus ochrogaster,1,0,0,0
2015,27,UKFS,juvenile,Sigmodon hispidus,3,0,0,0
2015,27,UKFS,subadult,Neotoma floridana,2,0,0,0
2015,27,UKFS,subadult,Peromyscus leucopus,8,0,0,0
2015,27,UKFS,subadult,Peromyscus maniculatus,2,0,0,0
2015,27,UKFS,subadult,Sigmodon hispidus,6,0,0,0
2015,27,UKFS,unknown,Peromyscus leucopus,3,0,0,0
2015,27,UKFS,unknown,Sigmodon hispidus,2,0,0,0
2015,27,UKFS,NA,Mammalia sp.,1,0,0,0
2015,27,UKFS,NA,Peromyscus leucopus,1,0,0,0
2015,27,UKFS,NA,Sigmodon hispidus,3,0,0,0
2015,28,BLAN,adult,Mus musculus,3,0,0,0
2015,28,BLAN,adult,Peromyscus leucopus,88,0,0,0
2015,28,BLAN,adult,Tamias striatus,3,0,0,0
2015,28,BLAN,adult,Zapus hudsonius,3,0,0,0
2015,28,BLAN,juvenile,Peromyscus leucopus,4,0,0,0
2015,28,BLAN,subadult,Mus musculus,1,0,0,0
2015,28,BLAN,subadult,Peromyscus leucopus,14,0,0,0
2015,28,BLAN,subadult,Zapus hudsonius,1,0,0,0
2015,28,BLAN,unknown,Peromyscus leucopus,1,0,0,0
2015,28,KONZ,adult,Chaetodipus hispidus,8,0,0,0
2015,28,KONZ,adult,Microtus ochrogaster,37,0,0,0
2015,28,KONZ,adult,Neotoma floridana,5,0,0,0
2015,28,KONZ,adult,Peromyscus leucopus,65,0,0,0
2015,28,KONZ,adult,Peromyscus maniculatus,18,0,0,0
2015,28,KONZ,adult,Reithrodontomys megalotis,2,0,0,0
2015,28,KONZ,adult,Sigmodon hispidus,5,0,0,0
2015,28,KONZ,juvenile,Microtus ochrogaster,1,0,0,0
2015,28,KONZ,juvenile,Peromyscus leucopus,2,0,0,0
2015,28,KONZ,juvenile,Peromyscus maniculatus,1,0,0,0
2015,28,KONZ,subadult,Chaetodipus hispidus,1,0,0,0
2015,28,KONZ,subadult,Microtus ochrogaster,7,0,0,0
2015,28,KONZ,subadult,Peromyscus leucopus,1,0,0,0
2015,28,KONZ,subadult,Peromyscus maniculatus,1,0,0,0
2015,28,KONZ,unknown,Chaetodipus hispidus,1,0,0,0
2015,28,TALL,adult,Peromyscus gossypinus,44,0,0,0
2015,28,TALL,adult,Peromyscus leucopus,3,0,0,0
2015,28,TALL,adult,Tamias striatus,3,0,0,0
2015,28,TALL,juvenile,Peromyscus polionotus,1,0,0,0
2015,28,TALL,NA,Blarina carolinensis,13,0,0,0
2015,29,KONZ,adult,Chaetodipus hispidus,1,0,0,0
2015,29,KONZ,adult,Neotoma floridana,10,0,0,0
2015,29,KONZ,adult,Peromyscus leucopus,6,0,0,0
2015,29,KONZ,adult,Sigmodon hispidus,2,0,0,0
2015,29,KONZ,adult,Zapus hudsonius,2,0,0,0
2015,29,KONZ,subadult,Sigmodon hispidus,4,0,0,0
2015,29,ORNL,adult,Blarina brevicauda,5,0,0,0
2015,29,ORNL,adult,Peromyscus leucopus,100,0,0,0
2015,29,ORNL,adult,Peromyscus maniculatus,9,0,0,0
2015,29,ORNL,adult,Sigmodon hispidus,4,0,0,0
2015,29,ORNL,adult,Tamias striatus,38,0,0,0
2015,29,ORNL,juvenile,Sigmodon hispidus,2,0,0,0
2015,29,ORNL,subadult,Sigmodon hispidus,1,0,0,0
2015,29,ORNL,NA,Tamias striatus,1,0,0,0
2015,31,SCBI,adult,Blarina brevicauda,30,0,0,0
2015,31,SCBI,adult,Microtus pennsylvanicus,12,0,0,0
2015,31,SCBI,adult,Mus musculus,7,0,0,0
2015,31,SCBI,adult,Peromyscus leucopus,122,0,0,0
2015,31,SCBI,adult,Tamias striatus,2,0,0,0
2015,31,SCBI,subadult,Blarina brevicauda,1,0,0,0
2015,31,SCBI,subadult,Microtus pennsylvanicus,1,0,0,0
2015,31,SCBI,subadult,Mus musculus,1,0,0,0
2015,31,SCBI,subadult,Peromyscus leucopus,3,0,0,0
2015,31,SCBI,subadult,Zapus hudsonius,1,0,0,0
2015,31,SCBI,unknown,Peromyscus leucopus,1,0,0,0
2015,31,SCBI,NA,Blarina brevicauda,2,0,0,0
2015,31,UKFS,adult,Microtus ochrogaster,3,0,0,0
2015,31,UKFS,adult,Neotoma floridana,43,0,0,0
2015,31,UKFS,adult,Peromyscus leucopus,98,0,0,0
2015,31,UKFS,adult,Peromyscus maniculatus,7,0,0,0
2015,31,UKFS,adult,Sigmodon hispidus,85,0,0,0
2015,31,UKFS,juvenile,Peromyscus leucopus,2,0,0,0
2015,31,UKFS,juvenile,Sigmodon hispidus,12,0,0,0
2015,31,UKFS,subadult,Neotoma floridana,1,0,0,0
2015,31,UKFS,subadult,Peromyscus leucopus,2,0,0,0
2015,31,UKFS,subadult,Peromyscus maniculatus,2,0,0,0
2015,31,UKFS,subadult,Sigmodon hispidus,21,0,0,0
2015,31,UKFS,NA,Peromyscus leucopus,1,0,0,0
2015,31,UKFS,NA,Sigmodon hispidus,4,0,0,0
2015,31,UKFS,NA,Tamias striatus,1,0,0,0
2015,32,KONZ,adult,Blarina hylophaga,5,0,0,0
2015,32,KONZ,adult,Chaetodipus hispidus,9,0,0,0
2015,32,KONZ,adult,Microtus ochrogaster,107,0,0,0
2015,32,KONZ,adult,Microtus pinetorum,1,0,0,0
2015,32,KONZ,adult,Neotoma floridana,18,0,0,0
2015,32,KONZ,adult,Peromyscus leucopus,101,0,0,0
2015,32,KONZ,adult,Peromyscus maniculatus,42,0,0,0
2015,32,KONZ,adult,Reithrodontomys megalotis,1,0,0,0
2015,32,KONZ,adult,Sigmodon hispidus,14,0,0,0
2015,32,KONZ,adult,Zapus hudsonius,3,0,0,0
2015,32,KONZ,juvenile,Chaetodipus hispidus,1,0,0,0
2015,32,KONZ,juvenile,Microtus ochrogaster,3,0,0,0
2015,32,KONZ,juvenile,Sigmodon hispidus,3,0,0,0
2015,32,KONZ,subadult,Chaetodipus hispidus,8,0,0,0
2015,32,KONZ,subadult,Neotoma floridana,2,0,0,0
2015,32,KONZ,subadult,Peromyscus leucopus,3,0,0,0
2015,32,KONZ,unknown,Blarina hylophaga,2,0,0,0
